"No.","Time","Source","Destination","Protocol","Length","Info"
"2453","26.381348070","153.90.2.1","153.90.118.210","DNS","344","Standard query response 0x6fab A b.huffingtonpost.com CNAME b.aol.com CNAME b.datalayer.public.aol.com CNAME datalayer-b-webelb-1lwlnabxei0co-541911958.us-east-1.elb.amazonaws.com A 52.55.75.46 A 34.203.131.113 A 34.204.242.247 A 34.224.234.160 A 54.88.129.149 A 34.226.165.217 A 107.21.48.14 A 34.226.73.118"
"2482","26.467413456","153.90.118.210","153.90.2.1","DNS","88","Standard query 0xea29 A 0914.global.ssl.fastly.net"
"2483","26.468111745","153.90.2.1","153.90.118.210","DNS","129","Standard query response 0xea29 A 0914.global.ssl.fastly.net CNAME global-ssl.fastly.net A 151.101.52.249"
"2500","26.616983930","153.90.118.210","153.90.2.1","DNS","98","Standard query 0x19a4 A srv-2017-10-04-14.config.parsely.com"
"2501","26.617750667","153.90.2.1","153.90.118.210","DNS","114","Standard query response 0x19a4 A srv-2017-10-04-14.config.parsely.com A 52.42.172.222"
"2526","26.733603317","153.90.118.210","153.90.2.1","DNS","83","Standard query 0x29d6 A staticxx.facebook.com"
"2527","26.734064859","153.90.2.1","153.90.118.210","DNS","134","Standard query response 0x29d6 A staticxx.facebook.com CNAME scontent.xx.fbcdn.net A 31.13.76.107"
"2545","26.753497387","153.90.118.210","153.90.2.1","DNS","76","Standard query 0x99d3 A dpm.demdex.net"
"2546","26.754547973","153.90.2.1","153.90.118.210","DNS","312","Standard query response 0x99d3 A dpm.demdex.net CNAME gslb.demdex.net CNAME edge-usw2.demdex.net CNAME dcs-edge-usw2-620097651.us-west-2.elb.amazonaws.com A 54.71.146.239 A 35.160.180.157 A 35.162.36.45 A 35.161.35.168 A 54.70.122.167 A 35.161.203.120 A 34.223.213.47 A 54.218.44.217"
"2597","26.830362762","153.90.118.210","153.90.2.1","DNS","71","Standard query 0x5468 A b.aol.com"
"2601","26.842138013","153.90.118.210","153.90.2.1","DNS","81","Standard query 0xb001 A fast.aol.demdex.net"
"2602","26.843736796","153.90.118.210","153.90.2.1","DNS","74","Standard query 0xf9ec A o.sa.aol.com"
"2603","26.844099242","153.90.118.210","153.90.2.1","DNS","80","Standard query 0x6f26 A cm.everesttech.net"
"2604","26.844279159","153.90.2.1","153.90.118.210","DNS","259","Standard query response 0xf9ec A o.sa.aol.com CNAME sa.aol.com.d2.sc.omtrdc.net A 66.235.138.201 A 66.235.139.213 A 66.235.139.5 A 66.235.139.6 A 66.235.139.214 A 66.235.138.202 A 66.235.139.7 A 66.235.139.215 A 66.235.138.203"
"2606","26.844796609","153.90.2.1","153.90.118.210","DNS","136","Standard query response 0x6f26 A cm.everesttech.net CNAME cm.everesttech.net.akadns.net A 192.243.232.58"
"2613","26.850215556","153.90.118.210","153.90.2.1","DNS","97","Standard query 0x6dc5 A srv-2017-10-04-14.pixel.parsely.com"
"2614","26.850811231","153.90.2.1","153.90.118.210","DNS","113","Standard query response 0x6dc5 A srv-2017-10-04-14.pixel.parsely.com A 52.42.89.87"
"2631","26.875156927","153.90.2.1","153.90.118.210","DNS","180","Standard query response 0xb001 A fast.aol.demdex.net CNAME cdn.demdex.net.edgesuite.net CNAME a311.g.akamai.net A 209.124.184.152 A 209.124.184.153"
"2657","26.910187790","153.90.2.1","153.90.118.210","DNS","313","Standard query response 0x5468 A b.aol.com CNAME b.datalayer.public.aol.com CNAME datalayer-b-webelb-1lwlnabxei0co-541911958.us-east-1.elb.amazonaws.com A 34.203.131.113 A 34.204.242.247 A 34.224.234.160 A 54.88.129.149 A 34.226.165.217 A 107.21.48.14 A 34.226.73.118 A 52.55.75.46"
"2680","27.092083627","153.90.118.210","153.90.2.1","DNS","83","Standard query 0x22a8 A www.summerhamster.com"
"2682","27.095545131","153.90.118.210","153.90.2.1","DNS","84","Standard query 0xb3f7 A mms.huffingtonpost.com"
"2683","27.096229661","153.90.2.1","153.90.118.210","DNS","151","Standard query response 0xb3f7 A mms.huffingtonpost.com CNAME mms.sp-prod.net CNAME mms.pdx.sp-prod.net A 52.39.47.29"
"2696","27.206042682","153.90.2.1","153.90.118.210","DNS","148","Standard query response 0x22a8 A www.summerhamster.com CNAME bc.sp-prod.net CNAME bc.pdx.sp-prod.net A 52.10.154.150"
"2709","27.270008303","153.90.118.210","153.90.2.1","DNS","83","Standard query 0x8a73 A js-agent.newrelic.com"
"2710","27.270445142","153.90.2.1","153.90.118.210","DNS","140","Standard query response 0x8a73 A js-agent.newrelic.com CNAME f4.shared.global.fastly.net A 151.101.54.110"
"2712","27.271444187","153.90.118.210","153.90.2.1","DNS","79","Standard query 0x1a53 A cdn.at.atwola.com"
"2713","27.271880985","153.90.2.1","153.90.118.210","DNS","155","Standard query response 0x1a53 A cdn.at.atwola.com CNAME cdn.atwola.com CNAME cs6888100.wac.epsiloncdn.net A 192.229.173.242"
"2757","27.351598598","153.90.118.210","153.90.2.1","DNS","88","Standard query 0xa642 A pentos-cdn.polarmobile.com"
"2758","27.352313738","153.90.2.1","153.90.118.210","DNS","141","Standard query response 0xa642 A pentos-cdn.polarmobile.com CNAME g.global-ssl.fastly.net A 151.101.52.65"
"2760","27.360418697","153.90.118.210","153.90.2.1","DNS","75","Standard query 0xef9a A at.atwola.com"
"2762","27.366082579","153.90.2.1","153.90.118.210","DNS","129","Standard query response 0xef9a A at.atwola.com CNAME glb-ads.atwola.adtechus.com A 152.163.20.131"
"2803","27.429516624","153.90.118.210","153.90.2.1","DNS","88","Standard query 0x5462 A secure-us.imrworldwide.com"
"2804","27.429971523","153.90.2.1","153.90.118.210","DNS","104","Standard query response 0x5462 A secure-us.imrworldwide.com A 138.108.7.20"
