"No.","Time","Source","Destination","Protocol","Length","Info"
"17","0.078540356","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=211 Ack=4958 Win=38340 Len=0"
"18","0.079488125","10.0.2.15","152.195.54.95","TLSv1.2","182","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"19","0.079713545","152.195.54.95","10.0.2.15","TCP","62","443  >  38044 [ACK] Seq=4958 Ack=337 Win=65535 Len=0"
"20","0.085699127","10.0.2.15","152.195.54.95","TLSv1.2","149","Application Data"
"21","0.085896998","152.195.54.95","10.0.2.15","TCP","62","443  >  38044 [ACK] Seq=4958 Ack=430 Win=65535 Len=0"
"22","0.086065091","10.0.2.15","152.195.54.95","TLSv1.2","297","Application Data"
"23","0.086244080","152.195.54.95","10.0.2.15","TCP","62","443  >  38044 [ACK] Seq=4958 Ack=671 Win=65535 Len=0"
"24","0.097144697","152.195.54.95","10.0.2.15","TLSv1.2","366","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25","0.097340027","10.0.2.15","152.195.54.95","TLSv1.2","94","Application Data"
"26","0.097477134","152.195.54.95","10.0.2.15","TCP","62","443  >  38044 [ACK] Seq=5268 Ack=709 Win=65535 Len=0"
"27","0.112822808","152.195.54.95","10.0.2.15","TLSv1.2","98","Application Data"
"28","0.126147910","152.195.54.95","10.0.2.15","TLSv1.2","94","Application Data"
"29","0.126241414","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=5348 Win=41180 Len=0"
"30","0.131125249","152.195.54.95","10.0.2.15","TLSv1.2","751","Application Data, Application Data"
"31","0.132919337","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=6043 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"32","0.132935991","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=7423 Win=46860 Len=0"
"33","0.133395285","152.195.54.95","10.0.2.15","TCP","11416","443  >  38044 [ACK] Seq=7423 Ack=709 Win=65535 Len=11360 [TCP segment of a reassembled PDU]"
"34","0.133409917","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=18783 Win=65320 Len=0"
"35","0.133808090","152.195.54.95","10.0.2.15","TLSv1.2","2785","Application Data"
"36","0.133814903","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=21512 Win=65320 Len=0"
"37","0.143784557","127.0.0.1","127.0.1.1","DNS","72","Standard query 0xc611 A s.yimg.com"
"38","0.143831227","10.0.2.15","153.90.2.15","DNS","72","Standard query 0xba67 A s.yimg.com"
"39","0.146909092","153.90.2.15","10.0.2.15","DNS","139","Standard query response 0xba67 A s.yimg.com CNAME s.gycs.b.yahoodns.net A 216.115.100.124 A 216.115.100.123"
"40","0.147016972","127.0.1.1","127.0.0.1","DNS","139","Standard query response 0xc611 A s.yimg.com CNAME s.gycs.b.yahoodns.net A 216.115.100.124 A 216.115.100.123"
"41","0.147193197","10.0.2.15","216.115.100.124","TCP","76","48868  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1458097153 TSecr=0 WS=128"
"42","0.149559565","152.195.54.95","10.0.2.15","TLSv1.2","1436","Application Data, Application Data"
"43","0.150021077","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=22892 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"44","0.150041934","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=24272 Win=65320 Len=0"
"45","0.151436579","152.195.54.95","10.0.2.15","TCP","6956","443  >  38044 [PSH, ACK] Seq=24272 Ack=709 Win=65535 Len=6900 [TCP segment of a reassembled PDU]"
"46","0.151451814","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=31172 Win=65320 Len=0"
"47","0.153022201","152.195.54.95","10.0.2.15","TLSv1.2","6956","Application Data [TCP segment of a reassembled PDU]"
"48","0.153031700","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=38072 Win=65320 Len=0"
"49","0.163866258","216.115.100.124","10.0.2.15","TCP","62","443  >  48868 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"50","0.163898862","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"51","0.164120396","10.0.2.15","216.115.100.124","TLSv1.2","254","Client Hello"
"52","0.164325613","216.115.100.124","10.0.2.15","TCP","62","443  >  48868 [ACK] Seq=1 Ack=199 Win=65535 Len=0"
"53","0.166933982","152.195.54.95","10.0.2.15","TLSv1.2","1436","Application Data, Application Data"
"54","0.168796531","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=39452 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"55","0.168810238","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=40832 Win=65320 Len=0"
"56","0.169060510","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=40832 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"57","0.170751834","152.195.54.95","10.0.2.15","TCP","9716","443  >  38044 [PSH, ACK] Seq=42212 Ack=709 Win=65535 Len=9660 [TCP segment of a reassembled PDU]"
"58","0.170780811","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=51872 Win=65320 Len=0"
"59","0.171575896","152.195.54.95","10.0.2.15","TLSv1.2","2816","Application Data [TCP segment of a reassembled PDU]"
"60","0.171580783","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=54632 Win=65320 Len=0"
"61","0.181489870","216.115.100.124","10.0.2.15","TLSv1.2","1436","Server Hello"
"62","0.181510497","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=199 Ack=1381 Win=31740 Len=0"
"63","0.181598354","216.115.100.124","10.0.2.15","TCP","1436","443  >  48868 [PSH, ACK] Seq=1381 Ack=199 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"64","0.181606880","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=199 Ack=2761 Win=34500 Len=0"
"65","0.182141041","216.115.100.124","10.0.2.15","TCP","1392","443  >  48868 [PSH, ACK] Seq=2761 Ack=199 Win=65535 Len=1336 [TCP segment of a reassembled PDU]"
"66","0.182155217","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=199 Ack=4097 Win=37260 Len=0"
"67","0.183054995","216.115.100.124","10.0.2.15","TLSv1.2","1305","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"68","0.183089960","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=199 Ack=5346 Win=40020 Len=0"
"69","0.184083220","152.195.54.95","10.0.2.15","TLSv1.2","1436","Application Data, Application Data"
"70","0.184477999","10.0.2.15","216.115.100.124","TLSv1.2","182","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"71","0.184686397","216.115.100.124","10.0.2.15","TCP","62","443  >  48868 [ACK] Seq=5346 Ack=325 Win=65535 Len=0"
"72","0.186715737","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=56012 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"73","0.186722320","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=57392 Win=65320 Len=0"
"74","0.187020026","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=57392 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"75","0.187573604","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=58772 Ack=709 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"76","0.187578895","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=60152 Win=65320 Len=0"
"77","0.189663969","152.195.54.95","10.0.2.15","TCP","6956","443  >  38044 [PSH, ACK] Seq=60152 Ack=709 Win=65535 Len=6900 [TCP segment of a reassembled PDU]"
"78","0.189686901","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=67052 Win=65320 Len=0"
"79","0.190402436","152.195.54.95","10.0.2.15","TLSv1.2","932","Application Data"
"80","0.192213780","10.0.2.15","216.115.100.124","TLSv1.2","149","Application Data"
"81","0.192345923","216.115.100.124","10.0.2.15","TCP","62","443  >  48868 [ACK] Seq=5346 Ack=418 Win=65535 Len=0"
"82","0.193484442","10.0.2.15","216.115.100.124","TLSv1.2","251","Application Data"
"83","0.193618597","216.115.100.124","10.0.2.15","TCP","62","443  >  48868 [ACK] Seq=5346 Ack=613 Win=65535 Len=0"
"84","0.194055226","127.0.0.1","127.0.1.1","DNS","74","Standard query 0x0937 A o.aolcdn.com"
"85","0.194091830","10.0.2.15","153.90.2.15","DNS","74","Standard query 0xdeef A o.aolcdn.com"
"86","0.197756152","153.90.2.15","10.0.2.15","DNS","127","Standard query response 0xdeef A o.aolcdn.com CNAME cs629.wpc.lambdacdn.net A 192.229.211.36"
"87","0.197805160","127.0.1.1","127.0.0.1","DNS","127","Standard query response 0x0937 A o.aolcdn.com CNAME cs629.wpc.lambdacdn.net A 192.229.211.36"
"88","0.197901716","10.0.2.15","192.229.211.36","TCP","76","35882  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2167052121 TSecr=0 WS=128"
"89","0.206334184","216.115.100.124","10.0.2.15","TLSv1.2","336","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
"90","0.206474743","216.115.100.124","10.0.2.15","TLSv1.2","106","Application Data"
"91","0.206589259","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=613 Ack=5676 Win=42780 Len=0"
"92","0.206867644","10.0.2.15","216.115.100.124","TLSv1.2","94","Application Data"
"93","0.206925685","216.115.100.124","10.0.2.15","TLSv1.2","89","Application Data"
"94","0.207055223","216.115.100.124","10.0.2.15","TCP","62","443  >  48868 [ACK] Seq=5709 Ack=651 Win=65535 Len=0"
"95","0.214313751","192.229.211.36","10.0.2.15","TCP","62","443  >  35882 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"96","0.214344657","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"97","0.214619336","10.0.2.15","192.229.211.36","TLSv1.2","256","Client Hello"
"98","0.214797154","192.229.211.36","10.0.2.15","TCP","62","443  >  35882 [ACK] Seq=1 Ack=201 Win=65535 Len=0"
"99","0.223831760","216.115.100.124","10.0.2.15","TLSv1.2","103","Application Data"
"100","0.223900246","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=651 Ack=5756 Win=42780 Len=0"
"101","0.224205733","216.115.100.124","10.0.2.15","TLSv1.2","479","Application Data"
"102","0.224415253","216.115.100.124","10.0.2.15","TCP","1436","443  >  48868 [PSH, ACK] Seq=6179 Ack=651 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"103","0.224420514","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=651 Ack=7559 Win=48300 Len=0"
"104","0.226276686","216.115.100.124","10.0.2.15","TCP","9716","443  >  48868 [PSH, ACK] Seq=7559 Ack=651 Win=65535 Len=9660 [TCP segment of a reassembled PDU]"
"105","0.226304011","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=651 Ack=17219 Win=65320 Len=0"
"106","0.231398895","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=709 Ack=67928 Win=65320 Len=0"
"107","0.232065918","192.229.211.36","10.0.2.15","TLSv1.2","1436","Server Hello"
"108","0.232078699","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=201 Ack=1381 Win=31740 Len=0"
"109","0.232595035","192.229.211.36","10.0.2.15","TCP","1436","443  >  35882 [PSH, ACK] Seq=1381 Ack=201 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"110","0.232601206","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=201 Ack=2761 Win=34500 Len=0"
"111","0.233021596","192.229.211.36","10.0.2.15","TLSv1.2","1185","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"112","0.233027781","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=201 Ack=3890 Win=37260 Len=0"
"113","0.233848062","10.0.2.15","192.229.211.36","TLSv1.2","182","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"114","0.234079222","192.229.211.36","10.0.2.15","TCP","62","443  >  35882 [ACK] Seq=3890 Ack=327 Win=65535 Len=0"
"115","0.236989630","10.0.2.15","192.229.211.36","TLSv1.2","149","Application Data"
"116","0.237116821","192.229.211.36","10.0.2.15","TCP","62","443  >  35882 [ACK] Seq=3890 Ack=420 Win=65535 Len=0"
"117","0.237204574","10.0.2.15","192.229.211.36","TLSv1.2","251","Application Data"
"118","0.237330007","192.229.211.36","10.0.2.15","TCP","62","443  >  35882 [ACK] Seq=3890 Ack=615 Win=65535 Len=0"
"119","0.240622556","216.115.100.124","10.0.2.15","TCP","1436","443  >  48868 [PSH, ACK] Seq=17219 Ack=651 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"120","0.241558489","216.115.100.124","10.0.2.15","TCP","1436","443  >  48868 [PSH, ACK] Seq=18599 Ack=651 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"121","0.241577239","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=651 Ack=19979 Win=65320 Len=0"
"122","0.242089215","216.115.100.124","10.0.2.15","TCP","1436","443  >  48868 [PSH, ACK] Seq=19979 Ack=651 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"123","0.242495261","216.115.100.124","10.0.2.15","TLSv1.2","1436","Application Data, Application Data"
"124","0.242507172","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=651 Ack=22739 Win=65320 Len=0"
"125","0.243120337","216.115.100.124","10.0.2.15","TLSv1.2","424","Application Data"
"126","0.250681731","192.229.211.36","10.0.2.15","TLSv1.2","298","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"127","0.250696777","192.229.211.36","10.0.2.15","TLSv1.2","124","Application Data"
"128","0.250758805","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=615 Ack=4200 Win=40020 Len=0"
"129","0.250925771","10.0.2.15","192.229.211.36","TLSv1.2","94","Application Data"
"130","0.251077127","192.229.211.36","10.0.2.15","TCP","62","443  >  35882 [ACK] Seq=4200 Ack=653 Win=65535 Len=0"
"131","0.251442323","192.229.211.36","10.0.2.15","TLSv1.2","98","Application Data"
"132","0.259923252","127.0.0.1","127.0.1.1","DNS","75","Standard query 0x52b7 A udc.yahoo.com"
"133","0.259998953","10.0.2.15","153.90.2.15","DNS","75","Standard query 0x1421 A udc.yahoo.com"
"134","0.262568596","153.90.2.15","10.0.2.15","DNS","161","Standard query response 0x1421 A udc.yahoo.com CNAME ds-geoycpi-uno-lite.gycpi.b.yahoodns.net A 208.71.44.30 A 208.71.44.31"
"135","0.262641019","127.0.1.1","127.0.0.1","DNS","161","Standard query response 0x52b7 A udc.yahoo.com CNAME ds-geoycpi-uno-lite.gycpi.b.yahoodns.net A 208.71.44.30 A 208.71.44.31"
"136","0.262753381","10.0.2.15","208.71.44.30","TCP","76","41452  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2832245525 TSecr=0 WS=128"
"137","0.267074962","192.229.211.36","10.0.2.15","TLSv1.2","94","Application Data"
"138","0.267119995","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=653 Ack=4280 Win=40020 Len=0"
"139","0.268045985","192.229.211.36","10.0.2.15","TLSv1.2","547","Application Data, Application Data"
"140","0.269559517","192.229.211.36","10.0.2.15","TCP","4196","443  >  35882 [PSH, ACK] Seq=4771 Ack=653 Win=65535 Len=4140 [TCP segment of a reassembled PDU]"
"141","0.269573336","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=653 Ack=8911 Win=51120 Len=0"
"142","0.271112527","192.229.211.36","10.0.2.15","TCP","11096","443  >  35882 [PSH, ACK] Seq=8911 Ack=653 Win=65535 Len=11040 [TCP segment of a reassembled PDU]"
"143","0.271130060","10.0.2.15","192.229.211.36","TCP","56","35882  >  443 [ACK] Seq=653 Ack=19951 Win=65320 Len=0"
"144","0.272042472","192.229.211.36","10.0.2.15","TLSv1.2","792","Application Data"
"145","0.272848827","127.0.0.1","127.0.1.1","DNS","78","Standard query 0xe9fe A s.m.huffpost.com"
"146","0.272909432","10.0.2.15","153.90.2.15","DNS","78","Standard query 0xf9f3 A s.m.huffpost.com"
"147","0.275919900","127.0.0.1","127.0.1.1","DNS","84","Standard query 0x9b12 A img.huffingtonpost.com"
"148","0.275960954","10.0.2.15","153.90.2.15","DNS","84","Standard query 0x38f4 A img.huffingtonpost.com"
"149","0.281873899","153.90.2.15","10.0.2.15","DNS","136","Standard query response 0x38f4 A img.huffingtonpost.com CNAME cs491300.wpc.mucdn.net A 192.229.210.207"
"150","0.281971736","127.0.1.1","127.0.0.1","DNS","136","Standard query response 0x9b12 A img.huffingtonpost.com CNAME cs491300.wpc.mucdn.net A 192.229.210.207"
"151","0.282060183","10.0.2.15","192.229.210.207","TCP","76","52050  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290737 TSecr=0 WS=128"
"152","0.282153573","10.0.2.15","192.229.210.207","TCP","76","52052  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290737 TSecr=0 WS=128"
"153","0.282210991","10.0.2.15","192.229.210.207","TCP","76","52054  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290737 TSecr=0 WS=128"
"154","0.282257206","10.0.2.15","192.229.210.207","TCP","76","52056  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290737 TSecr=0 WS=128"
"155","0.282312064","10.0.2.15","192.229.210.207","TCP","76","52058  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290737 TSecr=0 WS=128"
"156","0.282347374","10.0.2.15","192.229.210.207","TCP","76","52060  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290737 TSecr=0 WS=128"
"157","0.283459132","10.0.2.15","216.115.100.124","TCP","56","48868  >  443 [ACK] Seq=651 Ack=23107 Win=65320 Len=0"
"158","0.287066664","208.71.44.30","10.0.2.15","TCP","62","443  >  41452 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"159","0.287086518","10.0.2.15","208.71.44.30","TCP","56","41452  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"160","0.287210481","10.0.2.15","208.71.44.30","TLSv1.2","257","Client Hello"
"161","0.287437962","208.71.44.30","10.0.2.15","TCP","62","443  >  41452 [ACK] Seq=1 Ack=202 Win=65535 Len=0"
"162","0.290433838","153.90.2.15","10.0.2.15","DNS","130","Standard query response 0xf9f3 A s.m.huffpost.com CNAME cs491300.wpc.mucdn.net A 192.229.210.207"
"163","0.290493801","127.0.1.1","127.0.0.1","DNS","130","Standard query response 0xe9fe A s.m.huffpost.com CNAME cs491300.wpc.mucdn.net A 192.229.210.207"
"164","0.290577806","10.0.2.15","192.229.210.207","TCP","76","52062  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"165","0.290643015","10.0.2.15","192.229.210.207","TCP","76","52064  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"166","0.290680039","10.0.2.15","192.229.210.207","TCP","76","52066  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"167","0.290732611","10.0.2.15","192.229.210.207","TCP","76","52068  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"168","0.290767001","10.0.2.15","192.229.210.207","TCP","76","52070  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"169","0.290843635","10.0.2.15","192.229.210.207","TCP","76","52072  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"170","0.290896342","10.0.2.15","192.229.210.207","TCP","76","52074  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2735290739 TSecr=0 WS=128"
"171","0.299012248","192.229.210.207","10.0.2.15","TCP","62","443  >  52050 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"172","0.299035268","10.0.2.15","192.229.210.207","TCP","56","52050  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"173","0.299332559","192.229.210.207","10.0.2.15","TCP","62","443  >  52052 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"174","0.299341572","10.0.2.15","192.229.210.207","TCP","56","52052  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"175","0.299653134","10.0.2.15","192.229.210.207","TLSv1.2","266","Client Hello"
"176","0.299845185","192.229.210.207","10.0.2.15","TCP","62","443  >  52050 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"177","0.299893299","10.0.2.15","192.229.210.207","TLSv1.2","266","Client Hello"
"178","0.300537688","192.229.210.207","10.0.2.15","TCP","62","443  >  52052 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"179","0.300543107","192.229.210.207","10.0.2.15","TCP","62","443  >  52056 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"180","0.300552754","10.0.2.15","192.229.210.207","TCP","56","52056  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"181","0.300574837","192.229.210.207","10.0.2.15","TCP","62","443  >  52054 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"182","0.300580170","10.0.2.15","192.229.210.207","TCP","56","52054  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"183","0.300707020","10.0.2.15","192.229.210.207","TLSv1.2","266","Client Hello"
"184","0.300834119","10.0.2.15","192.229.210.207","TLSv1.2","266","Client Hello"
"185","0.300896430","192.229.210.207","10.0.2.15","TCP","62","443  >  52056 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"186","0.300985991","192.229.210.207","10.0.2.15","TCP","62","443  >  52060 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"187","0.300996139","10.0.2.15","192.229.210.207","TCP","56","52060  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"188","0.301015100","192.229.210.207","10.0.2.15","TCP","62","443  >  52058 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"189","0.301032898","10.0.2.15","192.229.210.207","TCP","56","52058  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"190","0.301062839","192.229.210.207","10.0.2.15","TCP","62","443  >  52054 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"191","0.301149077","10.0.2.15","192.229.210.207","TLSv1.2","266","Client Hello"
"192","0.301233696","10.0.2.15","192.229.210.207","TLSv1.2","266","Client Hello"
"193","0.303681004","192.229.210.207","10.0.2.15","TCP","62","443  >  52060 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"194","0.303704232","192.229.210.207","10.0.2.15","TCP","62","443  >  52058 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"195","0.308631964","192.229.210.207","10.0.2.15","TCP","62","443  >  52062 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"196","0.308650845","10.0.2.15","192.229.210.207","TCP","56","52062  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"197","0.308775771","10.0.2.15","192.229.210.207","TLSv1.2","256","Client Hello"
"198","0.308996024","192.229.210.207","10.0.2.15","TCP","62","443  >  52062 [ACK] Seq=1 Ack=201 Win=65535 Len=0"
"199","0.309004771","192.229.210.207","10.0.2.15","TCP","62","443  >  52064 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"200","0.309035940","10.0.2.15","192.229.210.207","TCP","56","52064  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"201","0.309072005","192.229.210.207","10.0.2.15","TCP","62","443  >  52070 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"202","0.309096851","10.0.2.15","192.229.210.207","TCP","56","52070  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
