Ip_Version,Subdomain
A,138.108.7.20
A,www.facebook.com
A,www.facebook.com
A,star-mini.c10r.facebook.com
A,31.13.76.68
A,b.huffingtonpost.com
A,b.huffingtonpost.com
A,b.aol.com
A,b.datalayer.public.aol.com
A,datalayer-b-webelb-1lwlnabxei0co-541911958.us-east-1.elb.amazonaws.com
A,52.55.75.46
A,34.203.131.113
A,34.204.242.247
A,34.224.234.160
A,54.88.129.149
A,34.226.165.217
A,107.21.48.14
A,34.226.73.118
A,0914.global.ssl.fastly.net
A,0914.global.ssl.fastly.net
A,global-ssl.fastly.net
A,151.101.52.249
A,srv-2017-10-04-14.config.parsely.com
A,srv-2017-10-04-14.config.parsely.com
A,52.42.172.222
A,staticxx.facebook.com
A,staticxx.facebook.com
A,scontent.xx.fbcdn.net
A,31.13.76.107
A,dpm.demdex.net
A,dpm.demdex.net
A,gslb.demdex.net
A,edge-usw2.demdex.net
A,dcs-edge-usw2-620097651.us-west-2.elb.amazonaws.com
A,54.71.146.239
A,35.160.180.157
A,35.162.36.45
A,35.161.35.168
A,54.70.122.167
A,35.161.203.120
A,34.223.213.47
A,54.218.44.217
A,b.aol.com
A,fast.aol.demdex.net
A,o.sa.aol.com
A,cm.everesttech.net
A,o.sa.aol.com
A,sa.aol.com.d2.sc.omtrdc.net
A,66.235.138.201
A,66.235.139.213
A,66.235.139.5
A,66.235.139.6
A,66.235.139.214
A,66.235.138.202
A,66.235.139.7
A,66.235.139.215
A,66.235.138.203
A,cm.everesttech.net
A,cm.everesttech.net.akadns.net
A,192.243.232.58
A,srv-2017-10-04-14.pixel.parsely.com
A,srv-2017-10-04-14.pixel.parsely.com
A,52.42.89.87
A,fast.aol.demdex.net
A,cdn.demdex.net.edgesuite.net
A,a311.g.akamai.net
A,209.124.184.152
A,209.124.184.153
A,b.aol.com
A,b.datalayer.public.aol.com
A,datalayer-b-webelb-1lwlnabxei0co-541911958.us-east-1.elb.amazonaws.com
A,34.203.131.113
A,34.204.242.247
A,34.224.234.160
A,54.88.129.149
A,34.226.165.217
A,107.21.48.14
A,34.226.73.118
A,52.55.75.46
A,www.summerhamster.com
A,mms.huffingtonpost.com
A,mms.huffingtonpost.com
A,mms.sp-prod.net
A,mms.pdx.sp-prod.net
A,52.39.47.29
A,www.summerhamster.com
A,bc.sp-prod.net
A,bc.pdx.sp-prod.net
A,52.10.154.150
A,js-agent.newrelic.com
A,js-agent.newrelic.com
A,f4.shared.global.fastly.net
A,151.101.54.110
A,cdn.at.atwola.com
A,cdn.at.atwola.com
A,cdn.atwola.com
A,cs6888100.wac.epsiloncdn.net
A,192.229.173.242
A,pentos-cdn.polarmobile.com
A,pentos-cdn.polarmobile.com
A,g.global-ssl.fastly.net
A,151.101.52.65
A,at.atwola.com
A,at.atwola.com
A,glb-ads.atwola.adtechus.com
A,152.163.20.131
A,secure-us.imrworldwide.com
A,secure-us.imrworldwide.com
A,138.108.7.20
